Step,n,total,frequency
0,0,1411,0
1,0,1350,0
2,0,1095,0
3,0,1307,0
4,0,1439,0
5,0,1340,0
6,0,1158,0
7,0,1435,0
8,0,1374,0
9,0,1145,0
10,0,1107,0
11,0,1110,0
12,0,1447,0
13,0,1033,0
14,0,1657,0
15,0,1377,0
16,0,1378,0
17,0,1415,0
18,0,2120,0
19,0,1150,0
20,0,1341,0
21,0,1368,0
22,0,1452,0
23,0,1429,0
24,0,1376,0
25,0,1198,0
26,0,1440,0
27,0,1339,0
28,0,1531,0
29,0,1535,0
30,0,1530,0
31,0,1690,0
32,0,1258,0
33,0,1485,0
34,0,1208,0
35,0,1277,0
36,0,1259,0
37,0,1272,0
38,0,1263,0
39,0,1253,0
40,0,1509,0
41,0,1968,0
42,0,1514,0
43,0,1197,0
44,0,1219,0
45,0,1269,0
46,0,1533,0
47,0,1367,0
48,0,1276,0
49,0,1370,0
50,0,1335,0
51,0,1259,0
52,0,1508,0
53,0,1174,0
54,0,1111,0
55,0,1424,0
56,0,1175,0
57,0,1749,0
58,0,1152,0
59,0,1224,0
60,0,1305,0
61,0,1494,0
62,0,1503,0
63,0,1328,0
64,0,1287,0
65,0,1300,0
66,0,1613,0
67,0,1219,0
68,0,1477,0
69,0,1222,0
70,0,1118,0
71,0,1543,0
72,0,1516,0
73,0,1326,0
74,0,1194,0
75,0,1404,0
76,0,1486,0
77,0,1236,0
78,0,857,0
79,0,1344,0
80,0,1252,0
81,0,1166,0
82,0,1426,0
83,0,1529,0
84,0,1287,0
85,0,1395,0
86,0,1248,0
87,0,1363,0
88,0,1340,0
89,0,1172,0
90,0,1445,0
91,0,1206,0
92,0,1537,0
93,0,1442,0
94,0,1429,0
95,0,1239,0
96,0,1341,0
97,0,1369,0
98,0,1249,0
99,0,948,0
100,0,1441,0
