Step,n,total,frequency
0,0,1419,0
1,0,1459,0
2,0,1337,0
3,0,1315,0
4,0,1351,0
5,0,1292,0
6,0,1281,0
7,0,1380,0
8,0,1341,0
9,0,1306,0
10,0,1354,0
11,0,1195,0
12,0,1230,0
13,0,1322,0
14,0,1211,0
15,0,1359,0
16,0,1233,0
17,0,1312,0
18,0,1338,0
19,0,1289,0
20,0,1295,0
21,0,1327,0
22,0,1357,0
23,0,1318,0
24,0,1333,0
25,0,1382,0
26,0,1331,0
27,0,1290,0
28,0,1403,0
29,0,1359,0
30,0,1338,0
31,0,1301,0
32,0,1279,0
33,0,1291,0
34,0,1278,0
35,0,1266,0
36,0,1280,0
37,0,1429,0
38,0,1311,0
39,0,1387,0
40,0,1316,0
41,0,1362,0
42,0,1329,0
43,0,1303,0
44,0,1334,0
45,0,1372,0
46,0,1506,0
47,0,1400,0
48,0,1398,0
49,0,1329,0
50,0,1485,0
51,0,1416,0
52,0,1478,0
53,0,1425,0
54,0,1392,0
55,0,1417,0
56,0,1473,0
57,0,1371,0
58,0,1355,0
59,0,1389,0
60,0,1419,0
61,0,1283,0
62,0,1309,0
63,0,1244,0
64,0,1326,0
65,0,1322,0
66,0,1329,0
67,0,1420,0
68,0,1271,0
69,0,1354,0
70,0,1403,0
71,0,1365,0
72,0,1326,0
73,0,1306,0
74,0,1349,0
75,0,1227,0
76,0,1337,0
77,0,1419,0
78,0,1386,0
79,0,1304,0
80,0,1365,0
81,0,1388,0
82,0,1356,0
83,0,1226,0
84,0,1329,0
85,0,1285,0
86,0,1278,0
87,0,1370,0
88,0,1289,0
89,0,1353,0
90,0,1349,0
91,0,1326,0
92,0,1369,0
93,0,1279,0
94,0,1316,0
95,0,1250,0
96,0,1327,0
97,0,1337,0
98,0,1366,0
99,0,1424,0
100,0,1309,0
