Step,n,total,frequency
0,0,1452,0
1,0,1486,0
2,9,1799,0.005002779321845469
3,0,1872,0
4,1,1927,5.189413596263622e-4
5,2,1923,0.0010400416016640667
6,2,2019,9.905894006934125e-4
7,0,1936,0
8,3,1967,0.001525165226232842
9,1,2043,4.894762604013706e-4
10,5,1842,0.0027144408251900108
11,0,1840,0
12,1,1874,5.336179295624333e-4
13,0,1838,0
14,0,1945,0
15,0,1836,0
16,0,1936,0
17,0,2234,0
18,0,2027,0
19,0,1937,0
20,0,2051,0
21,0,1862,0
22,0,1913,0
23,0,1895,0
24,0,1809,0
25,0,1853,0
26,0,1932,0
27,0,1940,0
28,2,2022,9.891196834817012e-4
29,2,1974,0.0010131712259371835
30,0,2105,0
31,0,1991,0
32,0,2034,0
33,0,1984,0
34,0,1932,0
35,0,1975,0
36,6,2137,0.0028076743097800653
37,6,2514,0.002386634844868735
38,6,2001,0.0029985007496251873
39,9,1946,0.0046248715313463515
40,0,1957,0
41,0,2068,0
42,0,1953,0
43,0,1959,0
44,0,1969,0
45,0,2059,0
46,0,2057,0
47,0,2108,0
48,0,2005,0
49,0,2115,0
50,0,2066,0
51,2,1980,0.00101010101010101
52,3,1897,0.0015814443858724301
53,1,2001,4.997501249375312e-4
54,0,1923,0
55,0,2009,0
56,0,2099,0
57,1,1831,5.461496450027307e-4
58,1,1812,5.518763796909492e-4
59,0,1806,0
60,0,1748,0
61,0,1887,0
62,0,1873,0
63,0,1926,0
64,0,1820,0
65,0,1751,0
66,0,1844,0
67,0,1911,0
68,0,1855,0
69,0,1745,0
70,0,1711,0
71,0,1781,0
72,0,1822,0
73,0,1792,0
74,0,1778,0
75,0,1662,0
76,0,1740,0
77,0,1870,0
78,0,1863,0
79,0,2005,0
80,0,2001,0
81,0,1967,0
82,0,1842,0
83,0,1854,0
84,0,1961,0
85,0,1813,0
86,0,1783,0
87,0,1760,0
88,0,2081,0
89,0,1780,0
90,0,1897,0
91,0,1796,0
92,0,1937,0
93,0,2015,0
94,0,1918,0
95,0,1891,0
96,0,1809,0
97,0,1832,0
98,0,1964,0
99,0,1894,0
100,0,2040,0
