Step,n,total,frequency
0,0,1406,0
1,0,1384,0
2,0,2379,0
3,0,2827,0
4,0,1585,0
5,0,2072,0
6,0,1450,0
7,0,2145,0
8,0,1955,0
9,0,2390,0
10,0,1669,0
11,0,2034,0
12,0,1984,0
13,0,2146,0
14,0,2089,0
15,0,2156,0
16,0,1544,0
17,0,1946,0
18,0,2362,0
19,0,1888,0
20,0,1946,0
21,0,2213,0
22,0,1700,0
23,0,1757,0
24,0,1964,0
25,0,2037,0
26,0,1855,0
27,0,1847,0
28,0,1940,0
29,0,1676,0
30,0,1771,0
31,0,1718,0
32,0,1969,0
33,0,1825,0
34,0,1860,0
35,0,2007,0
36,0,1674,0
37,0,1873,0
38,0,2116,0
39,1,2081,4.805382027871216e-4
40,49,1755,0.02792022792022792
41,0,1780,0
42,0,2213,0
43,0,1904,0
44,0,2376,0
45,0,1964,0
46,0,1892,0
47,0,3458,0
48,0,2374,0
49,0,1764,0
50,0,2433,0
51,0,2125,0
52,0,2172,0
53,0,2004,0
54,0,1606,0
55,0,1750,0
56,0,1494,0
57,0,1664,0
58,0,1806,0
59,0,1796,0
60,0,1876,0
61,0,1578,0
62,0,1759,0
63,0,2233,0
64,0,1935,0
65,0,1657,0
66,0,1937,0
67,0,1739,0
68,0,1890,0
69,0,2264,0
70,0,2139,0
71,0,2288,0
72,0,2025,0
73,0,1638,0
74,0,1845,0
75,0,1706,0
76,0,1748,0
77,0,2184,0
78,0,1959,0
79,0,2359,0
80,0,1768,0
81,0,2156,0
82,0,1738,0
83,1,2136,4.6816479400749064e-4
84,5,1630,0.003067484662576687
85,0,2184,0
86,0,1663,0
87,0,2315,0
88,0,2368,0
89,0,2017,0
90,0,1543,0
91,0,1865,0
92,0,1835,0
93,0,1869,0
94,0,1704,0
95,0,1774,0
96,0,1614,0
97,0,2400,0
98,0,2050,0
99,0,1957,0
100,0,2064,0
