Step,n,total,frequency
0,0,2853,0
1,0,3075,0
2,4,3790,0.0010554089709762533
3,0,3917,0
4,0,4152,0
5,0,3355,0
6,0,4281,0
7,0,6336,0
8,0,4830,0
9,0,4261,0
10,0,3559,0
11,0,4154,0
12,0,3565,0
13,0,4171,0
14,0,4400,0
15,0,4590,0
16,0,3402,0
17,0,3836,0
18,0,3517,0
19,0,4097,0
20,0,3656,0
21,1,4748,2.1061499578770007e-4
22,0,4501,0
23,0,3811,0
24,0,3863,0
25,0,3797,0
26,0,3913,0
27,0,3794,0
28,0,3961,0
29,0,4265,0
30,0,4026,0
31,0,3799,0
32,0,4434,0
33,0,3683,0
34,0,4239,0
35,0,4112,0
36,0,3609,0
37,0,3813,0
38,0,3796,0
39,0,4290,0
40,0,3993,0
41,0,3405,0
42,0,3853,0
43,0,3981,0
44,0,4412,0
45,0,4381,0
46,0,4880,0
47,0,4697,0
48,0,4119,0
49,0,5303,0
50,0,4228,0
51,0,3914,0
52,2,4173,4.792715073088905e-4
53,3,4208,7.129277566539924e-4
54,0,3825,0
55,0,3806,0
56,0,3661,0
57,0,3586,0
58,0,5383,0
59,0,4073,0
60,0,3819,0
61,0,4376,0
62,0,4229,0
63,0,3789,0
64,0,3880,0
65,0,3875,0
66,0,3835,0
67,0,3675,0
68,0,6241,0
69,0,3942,0
70,0,3783,0
71,0,3714,0
72,0,3631,0
73,0,3488,0
74,0,4341,0
75,0,3615,0
76,0,3629,0
77,0,4206,0
78,0,4460,0
79,0,4302,0
80,0,4389,0
81,0,3973,0
82,0,4019,0
83,0,3961,0
84,0,4189,0
85,0,3433,0
86,0,3732,0
87,0,3918,0
88,4,4073,9.820770930518046e-4
89,13,3929,0.003308729956731993
90,0,3804,0
91,0,3966,0
92,0,4081,0
93,0,3686,0
94,0,3726,0
95,0,3831,0
96,0,3685,0
97,1,4651,2.1500752526338422e-4
98,49,4185,0.011708482676224612
99,0,4037,0
100,18,3994,0.004506760140210316
