stem,n
bodi,9650
health,9219
food,8396
choos,8129
nourish,7938
choic,7019
dietari,5172
fuel,4016
healthi,3783
life,3764
mind,3387
eat,3318
diet,3223
optim,2800
healthier,2685
feel,2348
nutrient,2145
priorit,2064
happier,2063
vibrant,1999
wise,1562
impact,1459
thrive,1367
rich,1362
nutriti,1346
smart,1286
live,1094
lead,1016
start,1016
deserv,998
happi,974
energi,947
wholesom,930
directli,921
balanc,919
vital,919
promot,904
dens,821
worth,737
boost,710
fruit,690
grain,644
kei,643
futur,637
improv,620
tomorrow,606
veget,605
support,560
lean,526
protein,526
care,479
energ,448
plate,425
physic,388
dai,381
option,381
depend,357
mental,348
strong,318
term,312
soul,304
bite,297
mood,267
fresh,266
shape,258
longev,254
activ,238
immun,236
unprocess,231
qualiti,210
opt,205
essenti,202
love,185
benefit,178
prioriti,177
spirit,177
invest,172
system,172
fulfil,158
posit,150
enhanc,147
last,145
sustain,144
affect,136
meal,135
experi,132
well,131
foundat,128
good,127
prevent,123
crucial,122
nutrit,116
plai,115
process,115
role,115
consciou,113
energet,111
ill,109
moder,109
regular,108
wealth,108
watch,104
hand,102
alongsid,100
dramat,100
incorpor,100
habit,94
ultim,92
effort,90
strengthen,89
veggi,85
strength,81
equal,80
power,80
transform,80
determin,77
success,77
count,75
maintain,74
asset,72
level,67
achiev,66
brighter,66
lifelong,62
path,62
insid,61
stai,61
clariti,60
perform,60
daili,59
fill,59
function,56
treat,55
increas,53
healthyeat,50
eatwellstaywel,46
close,44
healthiswealth,44
link,44
plenti,42
decis,41
enjoi,41
flourish,40
palett,40
uplift,40
valuabl,40
diseas,39
eatwellbewel,38
cultiv,36
includ,36
lifestyl,36
hold,34
tabl,34
factor,33
healthydiet,31
ingredi,31
greatli,30
digest,29
metabol,29
embrac,28
joi,28
pave,28
templ,28
begin,27
chronic,27
effect,27
risk,25
calori,24
base,21
legum,21
lower,21
nut,21
peak,21
plant,21
provid,21
seed,21
substanti,21
body',20
differ,19
direct,19
indulg,19
cue,18
engag,18
hunger,18
listen,18
practic,18
relationship,18
savor,18
significantli,18
aid,17
low,17
manag,17
weight,17
feed,16
aspect,15
benefici,15
content,15
densiti,15
fat,15
inform,15
junk,15
macronutri,15
matter,15
ratio,15
understand,15
cornerston,14
control,13
optimum,13
proper,13
reflect,13
simpl,13
elev,12
limit,12
pattern,12
sleep,12
sugar,12
hydrat,11
stronger,11
ensur,9
excess,9
focus,9
nurtur,9
portion,9
absorpt,8
adequ,8
compon,8
consumpt,8
cuisin,8
delight,8
drink,8
flavor,8
form,8
heart,8
innov,8
intern,8
introduc,8
kitchen,8
lifetim,8
medicin,8
nutrition,8
pivot,8
sound,8
step,8
varieti,8
water,8
wellb,7
emot,5
switch,5
waistlin,5
reduc,4
reli,4
commit,3
natur,3
eathealthi,2
endless,2
goodhealth,2
possibl,2
temporari,2
bud,1
chang,1
consum,1
enrich,1
focu,1
make,1
result,1
satisfi,1
tast,1
