stem,n
bodi,10090
health,9699
choos,9292
food,8723
nourish,7294
choic,5694
fuel,4203
dietari,4103
life,4065
diet,3540
eat,3378
mind,3208
healthi,3154
healthier,2766
optim,2664
priorit,2284
vibrant,2283
nutrient,2181
feel,2168
start,1819
nutriti,1749
happier,1637
rich,1636
wholesom,1553
wise,1533
happi,1409
thrive,1299
deserv,1086
impact,1058
live,1051
balanc,1043
smart,1007
vital,994
kei,944
plate,806
improv,802
lead,757
care,727
fruit,726
futur,714
bite,659
support,654
grain,650
boost,624
promot,599
veget,576
energi,541
fulfil,537
dens,536
directli,529
dai,499
mental,465
physic,424
shape,415
lean,405
protein,405
tomorrow,388
soul,370
worth,364
plai,344
role,344
well,336
longev,301
invest,298
activ,271
immun,265
system,262
clariti,259
energ,259
crucial,256
count,250
energet,250
nutrit,250
meal,247
stronger,216
maintain,215
qualiti,215
function,212
last,205
healthyeat,196
mood,184
prevent,182
daili,178
wealth,165
nurtur,161
posit,159
veggi,150
feed,143
regular,143
moder,141
opt,140
alongsid,135
dramat,135
incorpor,135
consciou,134
lifestyl,134
greatli,125
depend,122
foundat,121
enhanc,120
healthychoic,120
protect,116
switch,115
diseas,114
option,113
equal,112
base,111
plant,111
benefit,110
fill,108
plenti,108
experi,103
ill,100
reflect,99
goodhealth,98
clean,95
eatgoodfeelgood,95
term,94
regret,93
wellb,91
essenti,90
perform,87
eatwellbewel,84
color,83
foster,83
give,80
decis,75
peak,73
process,71
step,70
ingredi,68
strengthen,68
determin,66
limit,66
prioriti,65
true,61
stai,59
optimum,58
affect,55
choosehealth,55
drink,54
mindfulli,51
cultiv,47
fresh,45
unprocess,44
insid,41
strong,40
sugari,39
digest,37
metabol,37
templ,35
ensur,33
includ,32
level,30
asset,29
pattern,27
risk,27
sleep,27
sugar,27
chronic,24
embrac,24
legum,24
lower,24
nut,24
provid,24
seed,24
substanti,24
medicin,23
varieti,23
control,22
cuisin,21
delight,21
flavor,21
innov,21
intern,21
introduc,21
kitchen,21
aid,19
begin,19
brighter,19
manag,19
weight,19
goodfoodgoodhealth,16
spirit,16
sustain,16
preciou,15
water,15
calori,14
absorpt,13
adequ,13
compon,13
elev,13
hydrat,13
body',12
cue,12
engag,12
hunger,12
increas,12
listen,12
practic,12
relationship,12
savor,12
significantli,12
thought,11
chang,10
inform,10
build,9
vibrantli,9
consumpt,8
content,8
cornerston,8
densiti,8
effort,8
fat,8
form,8
heart,8
macronutri,8
nutrition,8
pivot,8
ratio,8
sound,8
understand,8
pack,7
rememb,7
achiev,6
effect,6
excess,6
focus,6
health.choos,6
portion,6
junk,5
commit,4
healthili,4
ultim,4
aspect,3
chanc,3
conveni,3
good,3
joy,3
lifelong,3
real,3
reduc,3
total,3
factor,2
habit,2
influenc,2
lifetim,2
natur,2
vari,2
amaz,1
